sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Galan,mean_Female_Galan,mean_other_Galan,sd_Male_Galan,sd_Female_Galan,sd_other_Galan,mean_Fruits_galan,mean_Seeds_galan,mean_Leaves_galan,mean_Flowers_galan,mean_Animal_galan,sd_Fruits_galan,sd_Seeds_galan,sd_Leaves_galan,sd_Flowers_galan,sd_Animals_galan
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Isla Brasilera, Argentina",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , ,7, ,21, , , , , , , ,28,5,wp,FFMM,0.75,groups,one,yes,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Protected area of upper Panama river, Brazil",Forest_Wetland_Grassland,1,1,both,3,Diurnal, , , , , , , ,2, ,9, , , , , , , ,11,1,wp,FFMM,0.818181818,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"San cayetano Corrientese, Argentina",Forest_Grassland,1,1,both,2,Diurnal, ,1, , , , , ,32, ,8, , , , , , , ,40,2,wp,MFF,0.8,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,2, ,1,1,3, , , , , , , ,7,1,wp,FFMM,0.428571429,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
pop,Alouatta_caraya,Paranguyan Howler Monkey,"Tocantins River, Brazil",Forest_Wetland,0,1,closed,2,Diurnal, , , , , ,2, ,1,1,4, , , , , , , ,8,1,wp,FFMM,0.5,groups,one,none,AR,6.42,4.33, , , , ,28.5,0.4,57.3,2.7, , , , , , 
sp,Alouatta_coibensis,Coiba Island Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_discolor,Spix's Howler Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , ,1,1, ,none,MFF,1,groups,one,none,AR,7.25,5.5,6.37, , , ,55.6, ,24.8,5.7, , , , , , 
pop,Alouatta_discolor,Spix's Howler Monkey,"Teles Pires River, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.25,5.5,6.37, , , ,55.6, ,24.8,5.7, , , , , , 
sp,Alouatta_guariba,Brown Howler Monkey, , ,0,0,,2,Diurnal,1, , ,3, ,2, ,12, ,4, , , , , , ,6,18, ,wp,MFF,0.666666667,groups,ff,yes,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
pop,Alouatta_guariba,Brown Howler Monkey,"Sao Francisco de Assis, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
pop,Alouatta_guariba,Brown Howler Monkey,"Campo de instrucao de santa maria, Brazil",Forest_Grassland,1,1,both,2,Diurnal, , , , , , , ,3, , , , , , , , , ,3,1,none,MFF,1,groups,one,none,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
pop,Alouatta_guariba,Brown Howler Monkey,"Moro Geisler, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, ,2, , , , , , , , , ,3,1,wp,MFF,0.666666667,groups,one,none,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
pop,Alouatta_guariba,Brown Howler Monkey,"Chacara payquere do Bugre, Brazil",Forest,0,1,closed,1,Diurnal,1, , ,3, ,1, ,4, ,4, , , , , , , ,9,1,wp,MFF_FFMM,0.444444444,groups,ff,yes,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
pop,Alouatta_guariba,Brown Howler Monkey,Parque Sao Paulo Village,Forest_Artificial,0,1,closed,2,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
pop,Alouatta_guariba,Brown Howler Monkey,"Porto Allegre, Brazil",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,6.73,4.35, , , , ,46.8, ,34.2,11.8, , , , , , 
sp,Alouatta_macconnelli,Guianan Red Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_nigerrima,Amazon Black Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Alouatta_palliata,Mantled Howler Monkey, , ,0,0,,2,Diurnal,13, , , , , , ,9,2,45, , , , , , ,19,56, ,both,FFMM,0.813559322,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,"Los Tuxlas, Mexico",Forest_Artificial,0,1,closed,2,Diurnal,13, , , , , , ,2,1,14, , , , , , , ,17,5,wp,FFMM,0.823529412,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,"Isla de Ometepe, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,"Hacienda la pacifica, Costa Rica",Forest_Artificial,0,1,closed,2,Diurnal, , , , , , , , , ,8, , , , , , , ,8,7,none,FFMM,1,groups,one,yes,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,Agaltepec island,Forest_Grassland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,"Macuspana, Tabasco",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,5, , , , , , , ,5,2,none,FFMM,1,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,"Barro Colorado Island, Panama",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,8, , , , , , , ,10,2,wp,FFMM,0.8,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
pop,Alouatta_palliata,Mantled Howler Monkey,"Tabasco y Dolores, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,5,1,7, , , , , , , ,13,1,wp,FFMM,0.538461538,groups,one,none,AR,6.96,5.28,6.12, , , ,12.5, ,63.6,18.2, , , , , , 
sp,Alouatta_pigra,Central American Black Howler Monkey, ,Forest_Shrubland_Artificial,1,1,both,2,Diurnal,8, , , , ,6, ,36,6,39, , , , , , ,9,87, ,both,FFMM,0.448275862,groups, ,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Palenque National Park, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,4,3,10, , , , , , , ,17,3,wp,FFMM,0.588235294,groups,one,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Muscapana Tabasco, Mexico",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Muscapana area, private catle, Mexico",Artificial_Shrubland,1,0,open,2,Diurnal, , , , , , , ,2, , , , , , , , , ,2,1,none,MFF,1,groups,one,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Mexican state of Campeche, Mexico",Forest_Artificial,0,1,closed,2,Diurnal, , , , , ,1, ,6,1,11, , , , , , , ,19,2,wp,FFMM,0.578947368,groups,one,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Leona Vicario, Mexico",Forest_Shrubland,1,1,both,2,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
pop,Alouatta_pigra,Central American Black Howler Monkey,"Comunity Baboon Sanctuary and CBWS, Belize",Artificial,0,0,,1,Diurnal,8, , , , ,5, ,24,2,15, , , , , , , ,46,1,wp,MFF,0.52173913,groups,one,none,AR,7.505,5.608,6.56, , , ,40.8, ,45.1,10.6, , , , , , 
sp,Alouatta_sara,Bolivian Red Howler Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , ,5, ,11, ,11, , , , , , ,1,27, ,wp,MFF_FFMM,0.407407407,groups,one,none,AR, , ,6.5, , , , , , , , , , , , , 
pop,Alouatta_sara,Bolivian Red Howler Monkey,"Santa Rosa del Sara y Buena Vista, Bolivia",Forest,0,1,closed,1,Diurnal, , , , , ,5, ,11, ,11, , , , , , , ,27,1,wp,MFF_FFMM,0.407407407,groups,one,none,AR, , ,6.5, , , , , , , , , , , , , 
sp,Alouatta_seniculus,Colombian Red Howler Monkey, , ,0,0,,2,Diurnal, , , , , ,1, ,1, ,17, , , , , , ,5,19, ,both,FFMM,0.894736842,groups,one,none,AR,6.66,5.18,6.01, , ,0.127279221,42.3, ,52.1,5.4, , , , , , 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,"La Montana de Ocaso, Colombian Andes",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,9, , , , , , , ,9,1,none,FFMM,1,groups,one,none,AR,6.66,5.18,6.01, , ,0.127279221,42.3, ,52.1,5.4, , , , , , 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,"Hato Masaguaral, Venezuela",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,3, , , , , , , ,4,2,wp,FFMM,0.75,groups,one,none,AR,6.66,5.18,6.01, , ,0.127279221,42.3, ,52.1,5.4, , , , , , 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,"El Frio, Venezuela",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,5, , , , , , , ,5,1,none,FFMM,1,groups,one,none,AR,6.66,5.18,6.01, , ,0.127279221,42.3, ,52.1,5.4, , , , , , 
pop,Alouatta_seniculus,Colombian Red Howler Monkey,Petit Saut Electric Dam,Artificial_Forest,0,1,closed,2,Diurnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,6.66,5.18,6.01, , ,0.127279221,42.3, ,52.1,5.4, , , , , , 
sp,Alouatta_ululata,Maranhão Red-handed Howler Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_azarae,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,, ,Cathemeral, , , , , ,18, , , , , , , , , , ,1,18,1,none,MF,1, ,one,none, , , , , , , , , , , , , , , , , 
pop,Aotus_azarae,Azara's Night Monkey,cattle ranch Estancia Guaycolec, ,0,0,, ,Cathemeral, , , , , ,18, , , , , , , , , , ,0,18,1,none,MF,1, ,one,none, , , , , , , , , , , , , , , , , 
sp,Aotus_brumbacki,Brumback's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_griseimembra,Gray-legged Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_hershkovitzi,Gray-bellied Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_jorgehernandezi,Hernandez-Camacho's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_lemurinus,Lemurine Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_miconax,Andean Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_nancymaae,Ma's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_nigriceps,Black-headed Night Monkey, , ,0,0,,1,Nocturnal, , , , , ,1, , , , , , , , , , ,1,1, ,none,MF,1,groups,one,none,AR,0.875,1.04, , , , ,60, , , , , , , , , 
pop,Aotus_nigriceps,Black-headed Night Monkey,"Manu Learning Centre, Peru",Forest,0,1,closed,1,Nocturnal, , , , , ,1, , , , , , , , , , , ,1,1,none,MF,1,groups,one,none,AR,0.875,1.04, , , , ,60, , , , , , , , , 
sp,Aotus_trivirgatus,Humboldt's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_vociferans,Spix's Night Monkey, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Aotus_zonalis,Panamanian Night Monkey, ,Forest,0,1,closed,1,Nocturnal, , , , , ,16, , , , , , , , , , ,1,16, ,none,MF,1,groups,one,none,AR,0.889,0.916, , , , ,65, ,30, ,5, , , , , 
pop,Aotus_zonalis,Panamanian Night Monkey,"Campo Chagres, Panama",Forest,0,1,closed,1,Nocturnal, , , , , ,12, , , , , , , , , , , ,12,1,none,MF,1,groups,one,none,AR,0.889,0.916, , , , ,65, ,30, ,5, , , , , 
pop,Aotus_zonalis,Panamanian Night Monkey,"Cerro Azul, Panama",Forest,0,1,closed,1,Nocturnal, , , , , ,4, , , , , , , , , , , ,4,1,none,MF,1,groups,one,none,AR,0.889,0.916, , , , ,65, ,30, ,5, , , , , 
sp,Arctocebus_aureus,Golden Angwantibo, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Arctocebus_calabarensis,Calabar Angwantibo, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Ateles_belzebuth,White-bellied Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,9, , , , , , ,5,9, ,none,FFMM,1,groups, ,none,AR,8.26,7.88, , , , ,78.5, ,7.7,1.3, , , , , , 
pop,Ateles_belzebuth,White-bellied Spider Monkey,"La Macarena, Columbia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,3, , , , , , , ,3,3,none,FFMM,1,groups, ,none,AR,8.26,7.88, , , , ,78.5, ,7.7,1.3, , , , , , 
pop,Ateles_belzebuth,White-bellied Spider Monkey,"Manu National Park, Peru",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,4, , , , , , , ,4,1,none,FFMM,1,groups, ,none,AR,8.26,7.88, , , , ,78.5, ,7.7,1.3, , , , , , 
pop,Ateles_belzebuth,White-bellied Spider Monkey,"Yasuni National Park, Ecuador",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups, ,none,AR,8.26,7.88, , , , ,78.5, ,7.7,1.3, , , , , , 
sp,Ateles_chamek,Black Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , , , , , ,3, , , , , , ,2,3, ,none,FFMM,1,groups,ff,none,AR,9.41,9.33,9.37, , , ,85.8, ,10.7,2.9, , , , , , 
pop,Ateles_chamek,Black Spider Monkey,"Lago Caiman, Bolivia",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,ff,none,AR,9.41,9.33,9.37, , , ,85.8, ,10.7,2.9, , , , , , 
pop,Ateles_chamek,Black Spider Monkey,"Manu National Park, Peru",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,9.41,9.33,9.37, , , ,85.8, ,10.7,2.9, , , , , , 
sp,Ateles_fusciceps,Brown-headed Spider Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Ateles_geoffroyi,Central American Spider Monkey, ,Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , ,3, ,23, , , , , , ,15,26, ,both,FFMM,0.884615385,groups,ff,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,"Barro Colorado Island, Panama",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,one,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,"Parque de Fauna y Floral Silvestre Tropica,l Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,"Punta Laguna Lake, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,12, , , , , , , ,13,5,none,FFMM,0.923076923,groups,ff,yes,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,Runaway Creek Natural Reserve Belize,Wetland_Forest_Grassland,1,1,both,3,Diurnal, , , , , , , , , ,3, , , , , , , ,3,3,none,FFMM,1,groups,one,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,"Santa Rosa, Costa Rica",Forest_Grassland_Wetland,1,1,both,3,Diurnal, , , , , , , , , ,2, , , , , , , ,2,2,none,FFMM,1,groups,ff,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,Tikal National Park Panama,Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,2, , , , , , , ,4,1,wp,MFF_FFMM,0.5,groups,one,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
pop,Ateles_geoffroyi,Central American Spider Monkey,"Yakatan, Mexico",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,none,FFMM,1,groups,one,none,AR,7.45,7.64,7.54, , , ,82.12, ,17.22,0.98, , , , , , 
sp,Ateles_hybridus,Variegated Spider Monkey, ,Forest_Artificial_Grassland_Wetland_Savanna,1,1,both,5,Diurnal, , , , , , , ,1, ,3, , , , , , ,3,4, ,wp,FFMM,0.75,groups,one,none,AR,8.25,9, , , , ,94, ,5,1, , , , , , 
pop,Ateles_hybridus,Variegated Spider Monkey,"Hacienda San Juan del Carare, Colombia",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, ,2, , , , , , , ,3,2,none,FFMM,0.666666667,groups,one,none,AR,8.25,9, , , , ,94, ,5,1, , , , , , 
pop,Ateles_hybridus,Variegated Spider Monkey,"Hacienda El Pajuil, Colombia",Forest_Artificial_Grassland_Wetland_Savanna,1,1,both,5,Diurnal, , , , , , , , , ,1, , , , , , , ,1,1,wp,FFMM,1,groups,ff,none,AR,8.25,9, , , , ,94, ,5,1, , , , , , 
sp,Ateles_marginatus,White-Whiskered Spider Monkey, ,Forest,0,1,closed,1,Diurnal, , , , , ,1, ,1, ,3, , , , , , ,1,5, ,wp,FFMM,0.6,groups,one,none,AR,10.4,5.824,5.82, , , , , , , , , , , , , 
pop,Ateles_marginatus,White-Whiskered Spider Monkey,"Tapajo National Forest, Brazil",Forest,0,1,closed,1,Diurnal, , , , , ,1, ,1, ,3, , , , , , , ,5,1,wp,FFMM,0.6,groups,one,none,AR,10.4,5.824,5.82, , , , , , , , , , , , , 
sp,Ateles_paniscus,Red-faced Black Spider Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Avahi_betsileo,Betsileo Wooly Lemur, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Avahi_cleesei,Bemaraha Wooly Lemur, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Avahi_laniger,Eastern Wooly Lemur, , ,0,0,,1,Nocturnal, , , , , ,3, , , , , , , , , , ,1,3, ,none,MF,1,solitary_groups,one,none,AR,1.03,1.32,1.175, , ,0.007071068, , , , , , , , , , 
pop,Avahi_laniger,Eastern Wooly Lemur,"Sainte Luce, Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , ,2, , , , , , , , , , , ,2,1,none,MF,1,solitary_groups,one,none,AR,1.03,1.32,1.175, , ,0.007071068, , , , , , , , , , 
sp,Avahi_meridionalis,Southern Wooly Lemur, , ,0,0,,1,Nocturnal, , , , , ,2, , , , , , , , , , ,1,2, ,none,MF,1,unknown,one,none,AR,1.1,1.2,1.21, , , , , ,100, , , , , , , 
pop,Avahi_meridionalis,Southern Wooly Lemur,"Sainte Luce, Madagarcar",Forest,0,1,closed,1,Nocturnal, , , , , ,2, , , , , , , , , , , ,2,1,none,MF,1,unknown,one,none,AR,1.1,1.2,1.21, , , , , ,100, , , , , , , 
sp,Avahi_mooreorum,Masoala Wooly Lemur, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Avahi_occidentalis,Western Wooly Lemur, , ,0,0,,1,Nocturnal, , , , , ,6, , , , , , , , , , ,1,6, ,none,MF,1,unknown,one,none,AR,0.814,0.777, , , , , , ,77, , , , , , , 
pop,Avahi_occidentalis,Western Wooly Lemur,"Northwestern, Madagascar",Forest,0,1,closed,1,Nocturnal, , , , , ,6, , , , , , , , , , , ,6,1,none,MF,1,unknown,one,none,AR,0.814,0.777, , , , , , ,77, , , , , , , 
sp,Avahi_peyrierasi,Peyriéras' Wooly Lemur, , ,0,0,, ,Nocturnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
