dataset,phylo,name,value,outgroup,prop,ypos
Olivier et al 3 state,"Kuderna et al phylogeny
+ outgroup",P,0.49759113136546895,outgroup,0.49759113136546895,0.2890723304899622
Olivier et al 3 state,"Kuderna et al phylogeny
+ outgroup",G,0.4621321038273032,outgroup,0.4621321038273032,0.7689339480863483
Kappeler & Pozzi 3 state,"Olivier et al phylogeny
+ no outgroup",S,0.7074998262473156,no outgroup,0.7074998262473156,0.3537499131236578
Kappeler & Pozzi 3 state,"Olivier et al phylogeny
+ no outgroup",P,0.2571928034013245,no outgroup,0.2571928034013245,0.8360962279479778
Kappeler & Pozzi 3 state,"Olivier et al phylogeny
+ no outgroup",G,0.03530737035135995,no outgroup,0.03530737035135995,0.98234631482432
Lukas & Clutton-Brock 3 state,"Olivier et al phylogeny
+ no outgroup",S,0.9530092699032384,no outgroup,0.9530092699032384,0.4765046349516192
Lukas & Clutton-Brock 3 state,"Olivier et al phylogeny
+ no outgroup",P,0.0410384744741194,no outgroup,0.0410384744741194,0.9735285071402981
Lukas & Clutton-Brock 3 state,"Olivier et al phylogeny
+ no outgroup",G,0.00595225562264208,no outgroup,0.00595225562264208,0.9970238721886788
Müller & Thalmann 3 state,"Olivier et al phylogeny
+ no outgroup",S,3.4889163322270025e-7,no outgroup,3.4889163322270025e-7,1.7444581661135013e-7
Müller & Thalmann 3 state,"Olivier et al phylogeny
+ no outgroup",P,0.3690331464242983,no outgroup,0.3690331464242983,0.18451692210378234
Müller & Thalmann 3 state,"Olivier et al phylogeny
+ no outgroup",G,0.6309665046840685,no outgroup,0.6309665046840685,0.6845167476579658
Müller & Thalmann 5 state,"Olivier et al phylogeny
+ no outgroup",P,0.33972955194762156,no outgroup,0.33972955194762156,0.16986477597381078
Müller & Thalmann 5 state,"Olivier et al phylogeny
+ no outgroup",G,0.08651077102192387,no outgroup,0.08651077102192387,0.3829849374585835
Müller & Thalmann 5 state,"Olivier et al phylogeny
+ no outgroup",D-P,0.2694578870990133,no outgroup,0.2694578870990133,0.560969266519052
Müller & Thalmann 5 state,"Olivier et al phylogeny
+ no outgroup",D-G,0.30430178993144125,no outgroup,0.30430178993144125,0.8478491050342793
Olivier et al 3 state,"Olivier et al phylogeny
+ no outgroup",S,0.611774781304982,no outgroup,0.611774781304982,0.305887390652491
Olivier et al 3 state,"Olivier et al phylogeny
+ no outgroup",P,0.328193073426084,no outgroup,0.328193073426084,0.7758713180180239
Olivier et al 3 state,"Olivier et al phylogeny
+ no outgroup",G,0.06003214526893397,no outgroup,0.06003214526893397,0.9699839273655331
